"","COMPNOS","NatureCode","INCIDENT_TYPE_DESCRIPTION","MAIN_CRIMECODE","REPTDISTRICT","REPORTINGAREA","FROMDATE","WEAPONTYPE","Shooting","DOMESTIC","SHIFT","Year","Month","DAY_WEEK","UCRPART","X","Y","STREETNAME","XSTREETNAME","Location"
"4673",120477884,"BERPT ","RESIDENTIAL BURGLARY","05RB","C11",359,"08/02/2012 09:00:00 AM","Unarmed","No","No","Day",2012,8,"Thursday","Part One",772776.03114919,2932660.51452969,"HOOPER ST","","(42.29456135, -71.06899456)"
"4674",120477392,"BERPT ","RESIDENTIAL BURGLARY","05RB","C11",354,"06/30/2012 12:00:00 AM","Other","No","No","Last",2012,6,"Saturday","Part One",776582.84965102,2933421.6681911,"NEWKIRK ST","","(42.29659635, -71.05490957)"
"4675",120476961,"BERPT ","RESIDENTIAL BURGLARY","05RB","D14",802,"07/31/2012 12:00:00 PM","Unarmed","No","No","Day",2012,7,"Tuesday","Part One",755563.98388044,2954150.26715377,"HARVARD AV","","(42.35375135, -71.13226954)"
"4676",120476505,"BEIP  ","RESIDENTIAL BURGLARY","05RB","D4",150,"08/02/2012 01:45:00 AM","Unarmed","No","No","Last",2012,8,"Thursday","Part One",771382.1674671,2951169.98407236,"APPLETON ST","","(42.34537135, -71.07380456)"
"4677",120476408,"BERPT ","RESIDENTIAL BURGLARY","05RB","D14",777,"08/01/2012 05:45:00 PM","Other","No","No","First",2012,8,"Wednesday","Part One",750375.70226228,2951792.50841786,"WINSHIP PL","","(42.34734135, -71.15149953)"
"4678",120476213,"BERPT ","RESIDENTIAL BURGLARY","05RB","C11",252,"08/01/2012 09:00:00 AM","Other","No","No","Day",2012,8,"Wednesday","Part One",778736.08911094,2938290.88417444,"SAVIN HILL AV","","(42.30992661, -71.04685515)"
"4679",120476180,"BERPT ","RESIDENTIAL BURGLARY","05RB","C6",193,"08/01/2012 03:15:00 PM","Other","No","No","Day",2012,8,"Wednesday","Part One",776220.40910294,2945358.35986885,"PREBLE ST","","(42.32935635, -71.05601956)"
"4680",120475800,"BERPT ","RESIDENTIAL BURGLARY","05RB","B3",451,"08/01/2012 04:11:00 PM","Other","No","No","First",2012,8,"Wednesday","Part One",771232.32787177,2932425.00122118,"W TREMLETT ST","","(42.29393636, -71.07470456)"
"4681",120475570,"BERPT ","RESIDENTIAL BURGLARY","05RB","B3",435,"08/01/2012 05:05:00 PM","Other","No","No","First",2012,8,"Wednesday","Part One",771411.64050526,2928906.46101418,"ARMANDINE ST","","(42.28427881, -71.07410675)"
"4682",120475385,"BERPT ","RESIDENTIAL BURGLARY","05RB","E13",655,"08/01/2012 08:30:00 AM","Other","No","No","Day",2012,8,"Wednesday","Part One",757013.3694331,2936546.77841069,"LOUDERS LA","","(42.3054293, -71.1271921)"
"4683",120475185,"BEIP  ","RESIDENTIAL BURGLARY","05RB","E5",561,"08/01/2012 01:56:00 PM","Other","No","No","Day",2012,8,"Wednesday","Part One",758582.40796169,2928818.21644002,"PROSPECT AV","","(42.28420266, -71.12151857)"
"4684",120474860,"BEIP  ","RESIDENTIAL BURGLARY","05RB","D14",780,"08/01/2012 11:46:00 AM","Other","No","No","Day",2012,8,"Wednesday","Part One",751223.3770761,2954368.83987935,"GLENCOE ST","","(42.35440135, -71.14832453)"
"4685",120474637,"ARREST","RESIDENTIAL BURGLARY","05RB","C11",355,"08/01/2012 10:00:00 AM","Unarmed","No","No","Day",2012,8,"Wednesday","Part One",775291.68491052,2933383.42515735,"PARKMAN ST","","(42.2965098, -71.0596827)"
"4686",120473990,"BERPT ","RESIDENTIAL BURGLARY","05RB","D14",780,"07/31/2012 08:00:00 AM","Unarmed","No","No","Day",2012,7,"Tuesday","Part One",751223.3770761,2954368.83987935,"GLENCOE ST","SAYBROOK ST","(42.35440135, -71.14832453)"
"4687",120473945,"LARCRT","RESIDENTIAL BURGLARY","05RB","A7",15,"07/31/2012 11:00:00 PM","Unarmed","No","No","First",2012,7,"Tuesday","Part One",785388.78446693,2964616.9955641,"SARATOGA ST","","(42.38206634, -71.02171458)"
"4688",120473884,"BERPTA","RESIDENTIAL BURGLARY","05RB","B2",317,"07/30/2012 10:00:00 PM","Unarmed","No","No","First",2012,7,"Monday","Part One",767293.44697003,2938701.00343293,"HOMESTEAD ST","","(42.31121103, -71.08915114)"
"4689",120473739,"ARREST","RESIDENTIAL BURGLARY","05RB","C11",332,"07/31/2012 08:55:00 PM","Unarmed","No","No","First",2012,7,"Tuesday","Part One",773108.23422494,2939713.81177478,"COLUMBIA RD","","(42.31391135, -71.06763456)"
"4690",120473625,"BERPT ","RESIDENTIAL BURGLARY","05RB","E18",544,"07/31/2012 08:15:00 AM","Unarmed","No","No","Day",2012,7,"Tuesday","Part One",757627.43021285,2919491.73771769,"SUMMER ST","","(42.25862165, -71.12519913)"
"4691",120472558,"IVPER ","RESIDENTIAL BURGLARY","05RB","C11",355,"07/30/2012 04:30:00 PM","Other","No","No","First",2012,7,"Monday","Part One",775291.68491052,2933383.42515735,"PARKMAN ST","","(42.2965098, -71.0596827)"
"4692",120472502,"LARCRT","RESIDENTIAL BURGLARY","05RB","D4",153,"07/26/2012 12:00:00 PM","Unarmed","No","No","Day",2012,7,"Thursday","Part One",770410.46534226,2950377.41085435,"PEMBROKE ST","","(42.34320977, -71.07741347)"
"4693",120472010,"BERPT ","RESIDENTIAL BURGLARY","05RB","C6",214,"07/31/2012 04:00:00 AM","Other","No","No","Last",2012,7,"Tuesday","Part One",777974.64411152,2947541.36567344,"F ST","","(42.33532135, -71.04948956)"
"4694",120471716,"BERPT ","RESIDENTIAL BURGLARY","05RB","C11",332,"07/30/2012 07:50:00 AM","Other","No","No","Day",2012,7,"Monday","Part One",773108.23422494,2939713.81177478,"COLUMBIA RD","","(42.31391135, -71.06763456)"
"4695",120471079,"BERPT ","RESIDENTIAL BURGLARY","05RB","B3",444,"07/30/2012 02:00:00 PM","Other","No","No","Day",2012,7,"Monday","Part One",768807.28514969,2933526.47539619,"ESMOND ST","","(42.2969917, -71.08364777)"
"4696",120470746,"BERPT ","RESIDENTIAL BURGLARY","05RB","E18",522,"07/24/2012 11:00:00 AM","Other","No","No","Day",2012,7,"Tuesday","Part One",758209.28600452,2916569.5365411,"EASTON AV","","(42.25059584, -71.12309745)"
"4697",120470476,"BERPT ","RESIDENTIAL BURGLARY","05RB","C6",193,"07/30/2012 07:30:00 AM","Other","No","No","Day",2012,7,"Monday","Part One",776220.40910294,2945358.35986885,"PREBLE ST","","(42.32935635, -71.05601956)"
"4698",120470170,"BERPT ","RESIDENTIAL BURGLARY","05RB","D4",141,"07/28/2012 02:30:00 AM","Unarmed","No","No","Last",2012,7,"Saturday","Part One",768146.75333426,2952449.58289111,"HEREFORD ST","","(42.34892634, -71.08574955)"
"4699",120470121,"IVPREM","RESIDENTIAL BURGLARY","05RB","D14",796,"07/30/2012 11:01:00 AM","Unarmed","No","No","Day",2012,7,"Monday","Part One",756582.54221077,2953012.74482252,"COMMONWEALTH AV","","(42.35061784, -71.12851965)"
"4700",120470022,"BEIP  ","RESIDENTIAL BURGLARY","05RB","D14",796,"07/30/2012 10:15:00 AM","Unarmed","No","No","Day",2012,7,"Monday","Part One",757106.61366918,2953166.92889735,"COMMONWEALTH AV","","(42.35103464, -71.12657842)"
